PaperID|Title|Authors|Venue|Year
53e9a515b7602d9702e350a0|An initial study of overheads of eddies.|Amol Deshpande|SIGMOD Record|2004
53e9b275b7602d9703d174f6|Engineering Federated Information Systems: Report of EFIS '99 Workshop.|Stefan Conrad, Wilhelm Hasselbring, Uwe Hohenstein, Ralf-Detlef Kutsche, Mark Roantree, Gunter Saake, Fèlix Saltor|SIGMOD Record|1999
53e9a5beb7602d9702eea180|Information Finding in a Digital Library: The Stanford Perspective.|Tak W. Yan, Hector Garcia-Molina|SIGMOD Record|1995
53e99800b7602d970200b618|Editor's Notes.|Jennifer Widom|SIGMOD Record|1995
53e9a718b7602d970304d814|Report on the 5th international workshop on the design and management of data warehouses (DMDW'03).|Hans-Joachim Lenz, Panos Vassiliadis, Manfred A. Jeusfeld, Martin Staudt|SIGMOD Record|2003
53e99800b7602d970200b603|Editor's Notes.|Ling Liu|SIGMOD Record|2002
53e99e6ab7602d970272e079|Report from the NSF Workshop on Workflow and Process Automation in Information Systems.|Amit P. Sheth, Dimitrios Georgakopoulos, Stef Joosten, Marek Rusinkiewicz, Walt Scacchi, Jack C. Wileden, Alexander L. Wolf|SIGMOD Record|1996
53e99ae6b7602d970236d5f2|TODS Perceptions and Misconceptions.|Richard T. Snodgrass|SIGMOD Record|2002
53e9b4d4b7602d9703ff2db2|SQL/MED - A Status Report.|Jim Melton, Jan-Eike Michels, Vanja Josifovski, Krishna G. Kulkarni, Peter M. Schwarz|SIGMOD Record|2002
53e9b4a5b7602d9703fb2f20|2003 SIGMOD Innovations Award Speech.|Donald D. Chamberlin|SIGMOD Record|2003
53e9aadfb7602d97034628ed|Jeffrey D. Ullman Speaks Out on the Future of Higher Education, Startups, Database Theory, and More.|Marianne Winslett|SIGMOD Record|2001
53e9a7b3b7602d97030eda57|Research issues for data communication in mobile ad-hoc network database systems.|Leslie D. Fife, Le Gruenwald|SIGMOD Record|2003
53e99809b7602d970201f8e3|Chair's Message.|Richard T. Snodgrass|SIGMOD Record|1998
53e9a515b7602d9702e363b7|An approach to confidence based page ranking for user oriented Web search.|Debajyoti Mukhopadhyay, Debasis Giri, Sanasam Ranbir Singh|SIGMOD Record|2003
53e9bd1eb7602d97049a89a1|A Comparison of Three User Interfaces to Relational Microcomputer Data Bases.|Carl Medsker, Margaret Christensen, Il-Yeol Song|SIGMOD Record|1995
53e9983db7602d9702063cf1|Object Query Standards.|Andrew E. Wade|SIGMOD Record|1996
53e9b991b7602d97045848ab|Constraints for Semi-structured Data and XML.|Peter Buneman, Wenfei Fan, Jérôme Siméon, Scott Weinstein|SIGMOD Record|2001
53e99a26b7602d9702280826|Database Principles Column - Introduction.|Leonid Libkin|SIGMOD Record|1999
53e9a743b7602d970307ad1e|Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice).|Krithi Ramamritham, Nandit Soparkar|SIGMOD Record|1997
53e9bd8cb7602d9704a359db|A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective.|Riza Cenk Erdur, Oguz Dikenelli|SIGMOD Record|2002
53e9b884b7602d97044555da|Research in Multi-Organizational Processes and Semantic Information Brokering at the LSDIS Lab.|Amit P. Sheth, John A. Miller, Krys Kochut, Ismailcem Budak Arpinar|SIGMOD Record|2001
53e9b7cdb7602d970437bfc2|Report on the Second IEEE Metadata Conference (Metadata '97).|Ron Musick, Christopher Miller 0002|SIGMOD Record|1998
53e9aa48b7602d97033b72fe|Introducing an Annotated Bibliography on Temporal and Evolution Aspects in the World Wide Web.|Fabio Grandi|SIGMOD Record|2004
53e9ba85b7602d97046a99f2|Multiplex, Fusionplex, and Autoplex - Three Generations of Information Integration.|Amihai Motro, Jacob Berlin, Philipp Anokhin|SIGMOD Record|2004
53e9b152b7602d9703bd3739|"Report on the First ""XQuery Implementation, Experience, and Perspectives"" Workshop (XIME-P)."|Ioana Manolescu, Yannis Papakonstantinou|SIGMOD Record|2004
53e9b414b7602d9703f0bd27|Integrating Dynamically-Fetched External Information into a DBMS for Semistructured Data.|Jason McHugh, Jennifer Widom|SIGMOD Record|1997
53e9a2ebb7602d9702bf3118|WWW-UDK: A Web-based Environmental Meta-Information System.|Ralf Kramer, Ralf Nikolai, Arne Koschel, Claudia Rolker, Peter C. Lockemann, Andree Keitel, Rudolf Legat, Konrad Zirm|SIGMOD Record|1997
53e9b98ab7602d970457d0e7|From semantic integration to semantics management: case studies and a way forward.|Arnon Rosenthal, Leonard J. Seligman, Scott Renner|SIGMOD Record|2004
53e99809b7602d970201f952|Chair's Message.|M. Tamer Özsu|SIGMOD Record|2001
53e9b701b7602d970429aca2|VideoAnywhere: A System for Searching and Managing Distributed Video Assets.|Amit P. Sheth, Clemens Bertram, Kshitij Shah|SIGMOD Record|1999
53e99d7ab7602d97026369c3|Quality of Service in Multimedia Digital Libraries.|Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Said Hacid|SIGMOD Record|2001
53e99b04b7602d97023955a6|Reminiscences an Influential Papers.|Kenneth A. Ross, Minos N. Garofalakis, Jeffrey F. Naughton|SIGMOD Record|2003
53e9b938b7602d97045251fa|Database Research at Arizona State University.|Susan Darling Urban, Suzanne W. Dietrich, Forouzan Golshani|SIGMOD Record|1996
53e9a1fab7602d9702afd7f8|SQLJ Part 0, Now Known as SQL/OLB (Object-Language Bindings).|Andrew Eisenberg, Jim Melton|SIGMOD Record|1998
53e9b017b7602d9703a7115b|Materialized Views and Data Warehouses.|Nick Roussopoulos|SIGMOD Record|1998
53e9ad42b7602d9703722d03|Algebraic Change Propagation for Semijoin and Outerjoin Queries.|Timothy Griffin, Bharat Kumar|SIGMOD Record|1998
53e99938b7602d9702178a2d|Report on the 3rd Web Dynamics Workshop, at WWW'2004.|Mark Levene, Alexandra Poulovassilis|SIGMOD Record|2004
53e9b4b4b7602d9703fc8743|Opportunities in Information Management and Assurance.|Xiaolei Qian|SIGMOD Record|1997
53e99915b7602d9702153324|Semantic B2B Integration: Issues in Ontology-based Applications.|Zhan Cui, Dean M. Jones, Paul O'Brien|SIGMOD Record|2002
53e99809b7602d970201f8e7|Chair's Message.|M. Tamer Özsu|SIGMOD Record|2002
53e9a9f0b7602d9703359b92|Evolution and Change in Data Management - Issues and Directions.|John F. Roddick, Lina Al-Jadir, Leopoldo E. Bertossi, Marlon Dumas, Florida Estrella, Heidi Gregersen, Kathleen Hornsby, Jens Lufter, Federica Mandreoli, Tomi Männistö, Enric Mayol, Lex Wedemeijer|SIGMOD Record|2000
53e9a906b7602d970325609c|Interview: C. Mohan Speaks Out.|Marianne Winslett, C. Mohan|SIGMOD Record|2004
53e9a833b7602d970317d4fd|Robust key establishment in sensor networks.|Yongge Wang|SIGMOD Record|2004
53e99eb5b7602d970277f14a|Workshop Report: The First International Workshop on Active and Real-Time Database Systems (ARTDB-95).|Mikael Berndtsson, Jörgen Hansson|SIGMOD Record|1996
53e99800b7602d970200b603|Editor's Notes.|Ling Liu|SIGMOD Record|2001
53e9b57cb7602d97040be00a|Lore: A Database Management System for Semistructured Data.|Jason McHugh, Serge Abiteboul, Roy Goldman, Dallan Quass, Jennifer Widom|SIGMOD Record|1997
53e9afb9b7602d9703a05ea6|On the Issue of Valid Time(s) in Temporal Databases.|Stavros Kokkotos, Efstathios V. Ioannidis, Themis Panayiotopoulos, Constantine D. Spyropoulos|SIGMOD Record|1995
53e9a6c3b7602d9702ff5623|Power efficient data gathering and aggregation in wireless sensor networks.|Hüseyin Özgür Tan, Ibrahim Korpeoglu|SIGMOD Record|2003
53e9a4a3b7602d9702dc6cee|Yahiko Kambayashi (February 15, 1943 - February 6, 2004) - A tribute and personal memoirs.|Yoshifumi Masunaga, Katsumi Tanaka|SIGMOD Record|2004
53e9b61bb7602d97041747ee|Rights of TODS Readers, Authors and Reviewers.|Richard T. Snodgrass|SIGMOD Record|2002
53e99853b7602d97020885ae|The New Middleware.|Rich Finkelstein|SIGMOD Record|1995
53e9b33db7602d9703e13425|Data Management for Earth System Science.|James Frew, Jeff Dozier|SIGMOD Record|1997
53e99ae6b7602d970236b9ef|The OASIS Multidatabase Prototype.|Mark Roantree, John Murphy, Wilhelm Hasselbring|SIGMOD Record|1999
53e99a8cb7602d97022fffcc|Clustering Validity Checking Methods: Part II.|Maria Halkidi, Yannis Batistakis, Michalis Vazirgiannis|SIGMOD Record|2002
53e99800b7602d970200b601|Editor's Notes.|Ling Liu|SIGMOD Record|2004
53e9aed1b7602d97038fac02|Phoenix Project: Fault-Tolerant Applications.|Roger S. Barga, David B. Lomet|SIGMOD Record|2002
53e9a905b7602d9703253c45|Implementing Deletion in B+-Trees.|Jan Jannink|SIGMOD Record|1995
53e99a0ab7602d970225bdc5|On the Academic Interview Circuit: An End-to-End Discussion.|Ugur Çetintemel|SIGMOD Record|2001
53e9bcd2b7602d9704956f2b|Issues in Mechanical Engineering Design Management.|Dave Hislop, Zoé Lacroix, Gerald Moeller|SIGMOD Record|2004
53e99c91b7602d97025452d2|Ontologies: A Silver Bullet for Knowledge Management and Electronic Commerce - Book Review.|Antonio Badia|SIGMOD Record|2002
53e9bb08b7602d9704743dab|MPEG-7 and Multimedia Database Systems.|Harald Kosch|SIGMOD Record|2002
53e9b2d2b7602d9703d831da|What Will Be - Book Review.|Paul W. P. J. Grefen|SIGMOD Record|2002
53e99b0ab7602d970239c219|Reminiscences on Influential Papers.|Kenneth A. Ross, Johannes Gehrke, Jun Rao|SIGMOD Record|2003
53e9ac38b7602d97035fd442|Unpacking The Semantics of Source and Usage To Perform Semantic Reconciliation In Large-Scale Information Systems.|Kenneth P. Smith, Leo Obrst|SIGMOD Record|1999
53e9ba9bb7602d97046c560f|Report on First International Workshop on Real-Time Database Systems.|Azer Bestavros, Kwei-Jay Lin, Sang Hyuk Son|SIGMOD Record|1996
53e99b0ab7602d970239c211|Reminiscences on Influential Papers.|Kenneth A. Ross, Flip Korn, Renée J. Miller, Kaladhar Voruganti|SIGMOD Record|2002
53e9aaa9b7602d97034211e0|Bringing Order to Query Optimization.|Giedrius Slivinskas, Christian S. Jensen, Richard T. Snodgrass|SIGMOD Record|2002
