idx1,idx2
2130,1391
1992,1686
360,1852
138,1925
442,2416
617,2188
1888,2388
287,1904
493,2238
4,2864
957,2781
1077,977
1294,2552
84,1581
482,1999
1326,1946
1250,2710
862,2485
670,1906
53,1858
1586,2287
1893,372
2094,1939
1122,2417
509,533
1206,2825
1219,2615
247,2110
261,925
1220,1942
1762,10
939,351
620,485
518,2280
2070,2871
1509,997
1755,6
1194,2828
601,364
1340,2509
611,2219
382,181
803,2160
932,2045
969,2723
1328,2512
593,2063
737,1024
1415,450
581,633
538,1983
407,1234
1346,2830
1000,2013
478,2462
1777,2873
2046,2131
1408,2252
1931,78
356,2212
456,84
1289,2682
1464,548
51,938
867,1232
1905,2505
515,435
1252,27
1951,1834
569,1803
1985,2650
1330,2575
1927,1333
321,691
1430,2104
1399,2382
370,1077
756,2690
1882,400
1260,2717
1897,299
1166,2035
1922,212
369,2810
2027,530
1772,1701
818,2413
1422,2262
320,186
1054,1722
1175,2506
180,2363
884,1396
2008,1806
1934,56
758,1027
2016,1666
258,1235
496,389
1754,1144
328,2876
2086,2520
235,2419
1211,1948
798,2124
1574,2345
318,1407
53,1890
1573,579
833,2346
1118,529
1387,2231
416,373
1296,2521
1498,32
1476,2079
1203,200
1155,2109
1603,2385
1004,399
1104,486
511,466
959,2728
2122,1409
154,1397
1299,2833
1912,2093
2045,2128
1551,2230
2071,2531
1306,2548
1267,76
2147,949
743,2816
2067,2497
1823,1498
775,1492
880,1923
122,2882
563,1838
1852,478
368,1748
1114,2355
1324,1936
1370,2726
761,101
355,2195
694,1889
596,2486
1914,2007
462,2406
630,184
2089,2533
87,659
1471,2340
1325,2551
2107,717
204,2412
139,2691
13,2701
889,1877
2020,2146
1072,92
2098,1162
1849,2264
988,507
1205,2607
590,2074
233,2331
152,945
784,1796
1894,2271
1410,2487
365,1583
281,1849
684,662
1235,1817
1554,2208
1005,488
1294,2397
78,2694
615,418
1395,350
881,1706
1485,1182
1867,2187
1181,2613
695,1062
1530,960
1961,100
1871,2278
240,2180
1142,2397
1156,2152
139,1984
1241,2784
1343,2652
1243,1518
579,2032
1503,2762
941,398
1376,97
73,210
1846,397
1984,2024
2126,158
469,151
1604,2068
1317,2612
1839,1296
1980,2175
304,1926
1463,2028
1130,427
1302,2605
1566,2306
556,48
1322,1945
1857,2369
323,2698
1120,498
1750,2737
845,2365
1293,2641
217,2424
1347,2648
1032,2493
1774,1818
1908,586
397,1573
2057,40
944,21
801,2336
807,2001
1286,2759
1371,1814
481,2474
1886,2000
1906,517
202,2421
557,25
1828,45
1298,1951
873,1021
390,1919
692,2815
1050,2523
1424,2441
924,2383
1067,1794
1495,1863
77,2812
2078,2592
504,521
1337,2557
677,678
1573,61
527,882
1845,2326
1971,1684
717,1918
773,1181
125,1899
1344,2201
1457,2078
678,1028
163,1373
514,2125
239,608
598,281
206,431
193,461
1106,2265
955,2770
1562,330
563,1837
1146,1254
2053,503
1841,95
228,2297
121,185
1147,2158
1233,1932
708,1967
165,2851
46,685
1835,1857
1152,2129
560,2748
1447,2391
1189,2541
2075,2634
1358,1824
1418,414
1043,2837
588,2293
1896,2295
1563,2085
1581,562
535,188
859,2234
173,1412
835,2026
43,1711
470,2193
1034,2086
1148,2108
1391,932
1290,2686
1153,2043
2114,1964
190,2404
786,34
1240,390
2006,8
2061,2604
1144,2115
1224,2898
1128,2027
234,2159
1145,502
1428,2139
2024,2313
450,471
1965,1669
572,88
1577,2118
1305,2562
1555,2328
1020,2429
1468,2296
800,476
1336,456
1847,1160
827,2156
1238,2773
1892,36
213,2342
1452,2473
1084,994
444,2274
1954,96
30,1582
949,1214
148,1579
964,2776
1504,17
946,18
133,2884
1133,2324
797,2375
641,1075
778,1867
22,163
24,209
296,1571
1309,307
970,761
874,2859
2072,2580
547,780
582,472
1287,2130
1251,1161
378,1087
877,920
1487,1783
495,625
1937,1839
1106,2176
14,666
445,2201
1247,2709
1972,1158
823,2418
1281,752
295,1969
1112,2111
1506,52
1055,2251
841,601
1292,1934
1212,2579
1610,374
1026,2080
1759,1665
1434,2283
2108,1590
973,2190
571,44
1818,30
721,1709
817,2171
335,1902
419,175
545,1483
1374,813
1540,171
751,1853
1108,513
1093,2785
1450,2348
726,2848
530,1741
1304,195
604,378
416,1984
710,216
904,2067
492,402
1019,2054
2140,1784
45,1030
1607,2309
1499,3
106,2702
255,1370
1278,2780
1813,55
1070,1173
1606,2236
196,2223
1815,2724
1237,2747
1578,453
1218,2770
1196,2602
762,2755
18,1025
1811,776
67,1561
565,1688
1172,151
1426,296
205,2285
1905,2100
2076,2513
1837,2756
785,1288
104,1564
1025,2203
1283,2727
1599,489
849,2126
1007,2011
589,2023
1364,1525
763,73
1335,2630
605,2116
1776,2601
777,1176
1254,2790
1082,91
1090,998
280,1538
2092,2614
1312,2502
485,366
1141,405
1923,935
1834,103
907,2044
317,1721
324,1580
11,2697
1873,2282
799,2138
109,2860
386,1411
2009,113
1348,2582
1984,2500
844,2411
1448,2031
69,693
459,470
1226,197
1271,348
1917,1957
157,1565
1489,54
8,1887
1778,422
111,667
627,440
769,115
250,2030
1377,2743
2115,1540
480,2083
1535,1868
640,1546
1242,2783
666,2852
473,2308
1854,2380
1142,2552
1388,658
1048,2545
772,1823
2088,2583
981,2491
1747,38
1313,2555
1865,2165
1821,2733
267,2855
33,1376
1231,2638
2036,442
1314,2901
1991,2771
195,391
1556,2434
897,2240
2012,90
115,218
42,2894
1132,422
703,1965
1605,2182
1895,2021
413,1903
1160,340
468,2184
15,1713
923,2090
566,1178
1333,1988
38,1733
1749,102
1239,1837
1352,2617
1328,2031
1065,80
1407,338
1973,2735
132,1861
1853,2410
1225,2841
805,2255
249,2037
1158,307
1288,2897
1101,2253
2005,1497
616,2095
619,2478
339,883
460,392
1909,2319
1378,962
732,176
1840,1810
1311,2598
236,354
1095,758
1538,690
2030,2321
36,185
771,2769
475,492
828,2071
327,1560
832,2370
1639,2170
968,1822
1477,2782
1764,1792
900,375
1368,2731
1856,419
1017,407
293,721
558,9
1089,957
1180,2536
2102,71
1303,2872
667,1084
1170,2836
1939,2789
1868,2091
908,2198
930,2482
961,1832
1042,2543
910,2244
1416,426
942,2312
1967,2749
494,495
853,433
2046,2520
839,2112
1030,2317
1466,2210
2064,2573
821,2179
1066,1830
724,934
147,922
554,114
2060,2395
1191,2620
66,1873
2143,214
1887,2360
741,879
131,919
395,1374
286,1238
1460,2292
486,2315
945,1697
1353,2840
354,2281
1003,475
1047,2504
940,2378
638,1402
89,1568
1094,1798
1753,42
660,2854
1125,473
512,624
1013,497
1915,1537
1143,463
64,878
2082,2553
1519,1164
1997,788
479,604
926,2047
316,726
242,368
525,1065
1284,1791
1904,2259
452,2163
971,1825
1315,2538
1167,2374
628,524
1222,1937
765,1841
1071,2707
446,2246
2097,1010
1524,65
1169,2577
671,2858
1049,1986
246,2422
1921,1543
2083,2508
731,2845
2043,2057
1270,1353
2048,415
16,1587
476,1837
950,1347
1911,567
840,2235
1113,178
917,2338
594,2322
2087,2635
1301,2629
1881,2121
241,2320
782,2787
2106,24
1480,1813
1100,509
2084,2831
1309,2834
1098,1833
1582,634
816,606
776,12
1561,467
1285,1844
297,657
1889,2367
215,474
471,2386
549,2714
702,2813
681,1707
1483,1163
2017,1213
895,318
1257,33
237,2075
443,2409
2032,438
487,380
1140,2257
1542,1068
1745,1693
312,1022
1229,199
449,2339
76,2880
1778,149
359,1399
222,490
1496,579
1232,2870
1319,2609
1185,2529
1245,1348
334,1082
1023,2058
858,413
1876,576
987,2400
1227,2647
1261,803
1598,2145
1957,2757
2121,1962
1497,2772
1870,2200
675,943
1386,2761
26,942
183,2323
1443,2248
1176,2578
1381,1635
1518,1869
542,2148
214,2166
1433,370
1832,1836
1373,993
1431,2395
1132,149
1234,16
725,1078
1830,1209
602,2405
1842,2352
1279,23
516,2481
974,2276
977,481
1400,2384
1058,585
1883,2245
1149,2286
812,2106
1329,1987
1110,2065
1039,284
1953,1787
423,689
1088,1637
1978,797
1567,2016
1479,66
580,385
1129,2284
1514,1866
1962,830
1440,376
2149,656
1121,479
151,2867
432,1080
1201,2839
1960,1808
691,2853
314,2866
586,2162
892,2205
500,1830
2124,720
1590,2018
455,403
2079,196
829,2270
1375,1871
477,390
1280,2736
6,926
1812,1779
1323,2899
1862,2310
834,2362
1564,401
94,108
1363,2
1071,468
453,455
301,1081
1318,2560
1587,2227
244,2267
27,203
1421,2423
1441,452
1345,1647
810,320
2125,2890
1979,1789
357,2036
58,168
1268,2716
1131,2073
1151,590
429,2820
1404,2347
2073,2591
1414,411
1879,2088
1520,1332
1342,2637
422,2817
186,2015
477,2752
434,1070
915,2197
2109,191
578,2017
256,1966
736,1371
1847,2256
1878,294
1916,1718
2145,1541
2022,2373
1240,2752
491,1990
488,2101
1041,2542
700,937
366,1586
