index_acm,paperId_acm,title_acm,authors_acm,venue_acm,year_acm
0,5390972920f70186a0dfac85,the next database revolution,jim gray,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
1,5390972920f70186a0dfac86,the role of cryptography in database security,ueli maurer,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
2,5390972920f70186a0dfac8d,tree logical classes for efficient evaluation of xquery,stelios paparizos yuqing wu laks v s lakshmanan h v jagadish,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
3,5390972920f70186a0dfac88,adaptive stream resource management using kalman filters,ankur jain edward y chang yuan fang wang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
4,5390972920f70186a0dfac8a,holistic udafs at streaming speeds,graham cormode theodore johnson flip korn s muthukrishnan oliver spatscheck divesh srivastava,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
5,5390972920f70186a0dfac89,online event driven subsequence matching over financial data streams,huanmei wu betty salzberg donghui zhang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
6,5390972920f70186a0dfac91,using the structure of web sites for automatic segmentation of tables,kristina lerman lise getoor steven minton craig knoblock,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
7,5390972920f70186a0dfac8e,flexpath flexible structure and full text querying for xml,sihem amer yahia laks v s lakshmanan shashank pandit,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
8,5390972920f70186a0dfac8f,an interactive clustering based approach to integrating source query interfaces on the deep web,wensheng wu clement yu anhai doan weiyi meng,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
9,5390972920f70186a0dfac9a,lazy query evaluation for active xml,serge abiteboul omar benjelloun bogdan cautis ioana manolescu tova milo nicoleta preda,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
10,5390972920f70186a0dfac9c,colorful xml one hierarchy isn t enough,h v jagadish laks v s lakshmanan monica scannapieco divesh srivastava nuwee wiwatwattana,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
11,5390972920f70186a0dfac9f,effective use of block level sampling in statistics estimation,surajit chaudhuri gautam das utkarsh srivastava,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
12,5390972920f70186a0dfaca4,the priority r tree a practically efficient and worst case optimal r tree,lars arge mark de berg herman j haverkort ke yi,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
13,5390972920f70186a0dfaca0,online maintenance of very large random samples,christopher jermaine abhijit pol subramanian arumugam,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
14,5390972920f70186a0dfaca5,integrating vertical and horizontal partitioning into automated physical database design,sanjay agrawal vivek narasayya beverly yang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
15,5390972920f70186a0dfaca3,graph indexing a frequent structure based approach,xifeng yan philip s yu jiawei han,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
16,5390972920f70186a0dfaca1,conditional selectivity for statistics on query expressions,nicolas bruno surajit chaudhuri,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
17,5390972920f70186a0dfacad,computing clusters of correlation connected objects,christian b hm karin kailing peer kr ger arthur zimek,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
18,5390972920f70186a0dfaca2,transaction support for indexed summary views,goetz graefe michael zwilling,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
19,5390972920f70186a0dfac99,fast computation of database operations using graphics processors,naga k govindaraju brandon lloyd wei wang ming lin dinesh manocha,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
20,5390972920f70186a0dfac9d,approximate xml query answers,neoklis polyzotis minos garofalakis yannis ioannidis,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
21,5390972920f70186a0dfac9e,a bi level bernoulli scheme for database sampling,peter j haas christian k nig,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
22,5390972920f70186a0dfac92,identifying similarities periodicities and bursts for online search queries,michail vlachos christopher meek zografoula vagena dimitrios gunopulos,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
23,5390972920f70186a0dfac98,rank aware query optimization,ihab f ilyas rahul shah walid g aref jeffrey scott vitter ahmed k elmagarmid,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
24,5390972920f70186a0dfac9b,data stream management for historical xml data,sujoe bose leonidas fegaras,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
25,5390972920f70186a0dfacb3,compressing historical information in sensor networks,antonios deligiannakis yannis kotidis nick roussopoulos,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
26,5390972920f70186a0dfacb7,a formal analysis of information disclosure in data exchange,gerome miklau dan suciu,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
27,5390972920f70186a0dfaca7,imap discovering complex semantic matches between database schemas,robin dhamankar yoonkyong lee anhai doan alon halevy pedro domingos,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
28,5390972920f70186a0dfacb5,extending query rewriting techniques for fine grained access control,shariq rizvi alberto mendelzon s sudarshan prasan roy,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
29,5390972920f70186a0dfacb4,efficient query reformulation in peer data management systems,igor tatarinov alon halevy,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
30,5390972920f70186a0dfacc1,approximation techniques for spatial data,abhinandan das johannes gehrke mirek riedewald,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
31,5390972920f70186a0dfacb9,indexing spatio temporal trajectories with chebyshev polynomials,yuhan cai raymond ng,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
32,5390972920f70186a0dfacc3,toss an extension of tax with ontologies and similarity queries,edward hung yu deng v s subrahmanian,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
33,5390972920f70186a0dfacc2,spatially decaying aggregation over a network model and algorithms,edith cohen haim kaplan,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
34,5390972920f70186a0dfac97,buffering databse operations for enhanced instruction cache performance,jingren zhou kenneth a ross,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
35,5390972920f70186a0dfacb6,order preserving encryption for numeric data,rakesh agrawal jerry kiernan ramakrishnan srikant yirong xu,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
37,5390972920f70186a0dfac90,understanding web query interfaces best effort parsing with hidden syntax,zhen zhang bin he kevin chen chuan chang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
38,5390972920f70186a0dfacc6,automatic categorization of query results,kaushik chakrabarti surajit chaudhuri seung won hwang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
39,5390972920f70186a0dfac96,optimization of query streams using semantic prefetching,ivan t bowman kenneth salem,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
40,5390972920f70186a0dfac95,cost based labeling of groups of mass spectra,lei chen zheng huang raghu ramakrishnan,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
41,5390972920f70186a0dfacc9,toward a progress indicator for database queries,gang luo jeffrey f naughton curt j ellmann michael w watzke,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
42,5390972920f70186a0dfaccd,query sampling in db2 universal database,jarek gryz junjie guo linqi liu calisto zuzarte,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
43,5390972920f70186a0dfacc8,on the integration of structure indexes and inverted lists,raghav kaushik rajasekar krishnamurthy jeffrey f naughton raghu ramakrishnan,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
44,5390972920f70186a0dfacca,estimating progress of execution for sql queries,surajit chaudhuri vivek narasayya ravishankar ramamurthy,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
45,5390972920f70186a0dfacc7,when one sample is not enough improving text database selection using shrinkage,panagiotis g ipeirotis luis gravano,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
46,5390972920f70186a0dfacc4,information theoretic tools for mining database structure from large data sets,periklis andritsos ren e j miller panayiotis tsaparas,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
47,5390972920f70186a0dfacd2,vertical and horizontal percentage aggregations,carlos ordonez,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
48,5390972920f70186a0dfac8b,blas an efficient xpath processing system,yi chen susan b davidson yifeng zheng,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
49,5390972920f70186a0dfac93,farmer finding interesting rule groups in microarray datasets,gao cong anthony k h tung xin xu feng pan jiong yang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
50,5390972920f70186a0dfac8c,efficient processing of xml twig queries with or predicates,haifeng jiang hongjun lu wei wang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
51,5390972920f70186a0dfacda,requirements and policy challenges in highly secure environments,dean e hall,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
52,5390972920f70186a0dface9,load management and high availability in the medusa distributed stream processing system,magdalena balazinska hari balakrishnan michael stonebraker,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
53,5390972920f70186a0dfacea,streamon an adaptive engine for stream query processing,shivnath babu jennifer widom,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
54,5390972920f70186a0dface4,maids mining alarming incidents from data streams,y dora cai david clutter greg pape jiawei han michael welge loretta auvil,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
55,5390972920f70186a0dface8,web cam monitoring the dynamic web to respond to continual queries,shaveen garg krithi ramamritham soumen chakrabarti,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
56,5390972920f70186a0dface7,pipes a public infrastructure for processing and exploring streams,j rgen kr mer bernhard seeger,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
57,5390972920f70186a0dface6,datamime,masum serazi vasily malakhov dongmei ren amal perera imad rahal weihua wu qiang ding fei pan william perrizo,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
58,5390972920f70186a0dfacf3,lexequal multilexical matching operator in sql,a kumaran jayant r haritsa,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
59,5390972920f70186a0dfacf2,managing healthcare data hippocratically,rakesh agrawal ameet kini kristen lefevre amy wang yirong xu diana zhou,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
60,5390972920f70186a0dfacf4,itqs an integrated transport query system,b huang z huang h li d lin h lu y song,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
61,5390972920f70186a0dfacf9,security of shared data in large systems state of the art and research directions,arnon rosenthal marianne winslett,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
62,5390972920f70186a0dface2,efficient development of data migration transformations,paulo carreira helena galhardas,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
63,5390972920f70186a0dface5,fa ade a fast and effective approach to the discovery of dense clusters in noisy spatial data,yu qian gang zhang kang zhang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
64,5390972920f70186a0dface3,liquid data for weblogic integrating enterprise data and services,vinayak borkar,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
65,5390972920f70186a0dfacf6,camas a citizen awareness system for crisis mitigation,sharad mehrotra carter butts dmitri v kalashnikov nalini venkatasubramanian kemal altintas ram hariharan haimin lee yiming ma amnon myers jehan wickramasuriya ron eguchi charles huyck,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
66,5390972920f70186a0dface1,knocking the door to the deep web integrating web query interfaces,bin he zhen zhang kevin chen chuan chang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
67,5390972920f70186a0dfacdf,declarative specification of web applications exploiting web services and workflows,marco brambilla stefano ceri sara comai marco dario piero fraternali ioana manolescu,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
68,5390972920f70186a0dface0,yoo hoo building a presence service with xquery and wsdl,mary fern ndez nicola onose j r me sim on,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
69,5390972920f70186a0dfacc5,efficient set joins on similarity predicates,sunita sarawagi alok kirpal,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
70,5390972920f70186a0dfacdd,xml in the middle xquery in the weblogic platform,michael j carey,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
71,5390972920f70186a0dfacdc,service oriented bi towards tight integration of business intelligence into operational applications,marcus dill achim kraiss stefan sigg thomas zurek,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
72,5390972920f70186a0dfacdb,information assurance technical challenges,nicholas j multari,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
73,5390972920f70186a0dfacd9,dbswitch towards a database utility,shaul dar gil hecht eden shochat,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
