paperId_acm,title_acm,authors_acm,venue_acm,year_acm,cleaned_title_acm,cleaned_authors_acm,index_acm
53908a9620f70186a0da4d8e,Schema and Database Evolution in the O2 Object Database System,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari, Guy Ferran, Joëlle Madec",VLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases,1995,schema and database evolution in the o2 object database system,fabrizio ferrandina thorsten meyer roberto zicari guy ferran jo lle madec,2331
5390981d20f70186a0e049a3,Composing schema mappings: second-order dependencies to the rescue,"Ronald Fagin, Phokion G. Kolaitis, Wang-Chiew Tan, Lucian Popa",PODS '04 Proceedings of the twenty-third ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2004,composing schema mappings second order dependencies to the rescue,ronald fagin phokion g kolaitis wang chiew tan lucian popa,255
5390880220f70186a0d75f08,Microsoft TerraServer: a spatial data warehouse,"Tom Barclay, Jim Gray, Don Slutz",SIGMOD '00 Proceedings of the 2000 ACM SIGMOD international conference on Management of data,2000,microsoft terraserver a spatial data warehouse,tom barclay jim gray don slutz,1456
5390980720f70186a0e03ea3,StreamGlobe: adaptive query processing and optimization in streaming P2P environments,"Bernhard Stegmaier, Richard Kuntschke, Alfons Kemper",DMSN '04 Proceeedings of the 1st international workshop on Data management for sensor networks: in conjunction with VLDB 2004,2004,streamglobe adaptive query processing and optimization in streaming p2p environments,bernhard stegmaier richard kuntschke alfons kemper,233
539087f320f70186a0d6f864,Belief reasoning in MLS deductive databases,Hasan M. Jamil,SIGMOD '99 Proceedings of the 1999 ACM SIGMOD international conference on Management of data,1999,belief reasoning in mls deductive databases,hasan m jamil,1278
53909f6920f70186a0e3a968,Sideway value algebra for object-relational databases,"G. Özsoyoǧlu, A. Al-Hamdani, I. S. Altingövde, S. A. Özel, Ö. Ulusoy, Z. M. Özsoyoǧlu",VLDB '02 Proceedings of the 28th international conference on Very Large Data Bases,2002,sideway value algebra for object relational databases,g zsoyo lu a al hamdani i s alting vde s a zel ulusoy z m zsoyo lu,274
5390972920f70186a0dfaca1,Conditional selectivity for statistics on query expressions,"Nicolas Bruno, Surajit Chaudhuri",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,conditional selectivity for statistics on query expressions,nicolas bruno surajit chaudhuri,16
5390880d20f70186a0d7b099,Efficient searching with linear constraints,"Pankaj K. Agarwal, Lars Arge, Jeff Erickson, Paulo G. Franciosa, Jeffrey Scott Vitter",Journal of Computer and System Sciences - Special issue on the seventeenth ACM SIGACT-SIGMOD-SIGART symposium on principles of database systems,2000,efficient searching with linear constraints,pankaj k agarwal lars arge jeff erickson paulo g franciosa jeffrey scott vitter,1553
53908a7420f70186a0da45ca,MindReader: Querying Databases Through Multiple Examples,"Yoshiharu Ishikawa, Ravishankar Subramanya, Christos Faloutsos",VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,mindreader querying databases through multiple examples,yoshiharu ishikawa ravishankar subramanya christos faloutsos,2103
53908a9620f70186a0da4e2b,The Query Optimizer in Tandem's new ServerWare SQL Product,Pedro Celis,VLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases,1996,the query optimizer in tandem s new serverware sql product,pedro celis,2345
53908b4920f70186a0dbbf88,Maintaining variance and k-medians over data stream windows,"Brain Babcock, Mayur Datar, Rajeev Motwani, Liadan O'Callaghan",Proceedings of the twenty-second ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2003,maintaining variance and k medians over data stream windows,brain babcock mayur datar rajeev motwani liadan o callaghan,2672
5390880220f70186a0d75f37,Index research (panel session): forest or trees?,"Joseph M. Hellerstein, Hans-Peter Kriegel, David Comet, Christos Falsutsos, Raghu Ramakrishnan, Paul Brown",SIGMOD '00 Proceedings of the 2000 ACM SIGMOD international conference on Management of data,2000,index research panel session forest or trees,joseph m hellerstein hans peter kriegel david comet christos falsutsos raghu ramakrishnan paul brown,1486
5390972920f70186a0dfac94,Diamond in the rough: finding Hierarchical Heavy Hitters in multi-dimensional data,"Graham Cormode, Flip Korn, S. Muthukrishnan, Divesh Srivastava",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,diamond in the rough finding hierarchical heavy hitters in multi dimensional data,graham cormode flip korn s muthukrishnan divesh srivastava,36
