paperId,title,authors,venue,year
53e9a515b7602d9702e350a0,an initial study of overheads of eddies,amol deshpande,sigmod record,2004
53e9b275b7602d9703d174f6,engineering federated information systems report of efis 99 workshop,stefan conrad wilhelm hasselbring uwe hohenstein ralf detlef kutsche mark roantree gunter saake f lix saltor,sigmod record,1999
53e9a5beb7602d9702eea180,information finding in a digital library the stanford perspective,tak w yan hector garcia molina,sigmod record,1995
53e99800b7602d970200b618,editor s notes,jennifer widom,sigmod record,1995
53e9a718b7602d970304d814,report on the 5th international workshop on the design and management of data warehouses dmdw 03,hans joachim lenz panos vassiliadis manfred a jeusfeld martin staudt,sigmod record,2003
53e99800b7602d970200b603,editor s notes,ling liu,sigmod record,2002
53e99e6ab7602d970272e079,report from the nsf workshop on workflow and process automation in information systems,amit p sheth dimitrios georgakopoulos stef joosten marek rusinkiewicz walt scacchi jack c wileden alexander l wolf,sigmod record,1996
53e99ae6b7602d970236d5f2,tods perceptions and misconceptions,richard t snodgrass,sigmod record,2002
53e9b4d4b7602d9703ff2db2,sql med a status report,jim melton jan eike michels vanja josifovski krishna g kulkarni peter m schwarz,sigmod record,2002
53e9b4a5b7602d9703fb2f20,2003 sigmod innovations award speech,donald d chamberlin,sigmod record,2003
53e9aadfb7602d97034628ed,jeffrey d ullman speaks out on the future of higher education startups database theory and more,marianne winslett,sigmod record,2001
53e9a7b3b7602d97030eda57,research issues for data communication in mobile ad hoc network database systems,leslie d fife le gruenwald,sigmod record,2003
53e99809b7602d970201f8e3,chair s message,richard t snodgrass,sigmod record,1998
53e9a515b7602d9702e363b7,an approach to confidence based page ranking for user oriented web search,debajyoti mukhopadhyay debasis giri sanasam ranbir singh,sigmod record,2003
53e9bd1eb7602d97049a89a1,a comparison of three user interfaces to relational microcomputer data bases,carl medsker margaret christensen il yeol song,sigmod record,1995
53e9983db7602d9702063cf1,object query standards,andrew e wade,sigmod record,1996
53e9b991b7602d97045848ab,constraints for semi structured data and xml,peter buneman wenfei fan j r me sim on scott weinstein,sigmod record,2001
53e99a26b7602d9702280826,database principles column introduction,leonid libkin,sigmod record,1999
53e9a743b7602d970307ad1e,report on dart 96 databases active and real time concepts meet practice,krithi ramamritham nandit soparkar,sigmod record,1997
53e9bd8cb7602d9704a359db,a multi agent system infrastructure for software component market place an ontological perspective,riza cenk erdur oguz dikenelli,sigmod record,2002
53e9b884b7602d97044555da,research in multi organizational processes and semantic information brokering at the lsdis lab,amit p sheth john a miller krys kochut ismailcem budak arpinar,sigmod record,2001
53e9b7cdb7602d970437bfc2,report on the second ieee metadata conference metadata 97,ron musick christopher miller 0002,sigmod record,1998
53e9aa48b7602d97033b72fe,introducing an annotated bibliography on temporal and evolution aspects in the world wide web,fabio grandi,sigmod record,2004
53e9ba85b7602d97046a99f2,multiplex fusionplex and autoplex three generations of information integration,amihai motro jacob berlin philipp anokhin,sigmod record,2004
53e9b152b7602d9703bd3739,report on the first xquery implementation experience and perspectives workshop xime p,ioana manolescu yannis papakonstantinou,sigmod record,2004
53e9b414b7602d9703f0bd27,integrating dynamically fetched external information into a dbms for semistructured data,jason mchugh jennifer widom,sigmod record,1997
