paperId_dblp,title_dblp,authors_dblp,venue_dblp,year_dblp,cleaned_title_dblp,cleaned_authors_dblp,index_dblp
53e9ab07b7602d970348dbd7,A Framework for Information Visualisation.,"Jessie B. Kennedy, Kenneth J. Mitchell, Peter J. Barclay",SIGMOD Record,1996,a framework for information visualisation,jessie b kennedy kenneth j mitchell peter j barclay,1897
53e9b6bfb7602d97042462bd,Querying Multiple Bioinformatics Data Sources: Can Semantic Web Research Help?,"David Buttler, Matthew Coleman, Terence Critchlow, Renato Fileto, Wei Han, Ling Liu, Calton Pu, Daniel Rocco, Li Xiong",SIGMOD Record,2002,querying multiple bioinformatics data sources can semantic web research help,david buttler matthew coleman terence critchlow renato fileto wei han ling liu calton pu daniel rocco li xiong,666
53e99853b7602d970208a66f,Trade Press News.,Rafael Alonso,SIGMOD Record,1995,trade press news,rafael alonso,843
53e9bce0b7602d9704963d2e,Review - Atomicity versus Anonymity: Distributed Transactions for Electronic Commerce.,Gerhard Weikum,ACM SIGMOD Digital Review,1999,review atomicity versus anonymity distributed transactions for electronic commerce,gerhard weikum,1682
53e9a7b3b7602d97030eda57,Research issues for data communication in mobile ad-hoc network database systems.,"Leslie D. Fife, Le Gruenwald",SIGMOD Record,2003,research issues for data communication in mobile ad hoc network database systems,leslie d fife le gruenwald,11
53e9a366b7602d9702c710cd,Data and Knowledge Base Research at Hong Kong University of Science and Technology.,"Pamela Drew, Babak Hamidzadeh, Kamalakar Karlapalem, Alex Chia-Yee Kean, Dik Lun Lee, Qing Li, Frederick H. Lochovsky, Chung-Dak Shum, Beat Wüthrich",SIGMOD Record,1995,data and knowledge base research at hong kong university of science and technology,pamela drew babak hamidzadeh kamalakar karlapalem alex chia yee kean dik lun lee qing li frederick h lochovsky chung dak shum beat w thrich,265
53e9b699b7602d970420d8f8,A System for Keyword Proximity Search on XML Databases.,"Andrey Balmin, Vagelis Hristidis, Nick Koudas, Yannis Papakonstantinou, Divesh Srivastava, Tianqiu Wang",VLDB,2003,a system for keyword proximity search on xml databases,andrey balmin vagelis hristidis nick koudas yannis papakonstantinou divesh srivastava tianqiu wang,1371
53e9b326b7602d9703df7c74,Obtaining Complete Answers from Incomplete Databases.,Alon Y. Levy,VLDB,1996,obtaining complete answers from incomplete databases,alon y levy,1143
53e9a516b7602d9702e3b440,Real Business Processing Meets the Web.,James Chong,SIGMOD Conference,1998,real business processing meets the web,james chong,1212
53e99be3b7602d970248c52b,A Logical View of Structured Files.,"Serge Abiteboul, Sophie Cluet, Tova Milo",VLDB J.,1998,a logical view of structured files,serge abiteboul sophie cluet tova milo,1025
53e9a5d3b7602d9702efab65,QuickStore: A High Performance Mapped Object Store,"Seth J. White, David J. DeWitt",VLDB J.,1995,quickstore a high performance mapped object store,seth j white david j dewitt,1267
53e99a74b7602d97022e39e2,Normalization in OODB Design.,Byung Suk Lee,SIGMOD Record,1995,normalization in oodb design,byung suk lee,680
53e9aaa3b7602d970341c212,Best papers of VLDB 2003.,"Johann Christoph Freytag, Serge Abiteboul, Michael J. Carey",VLDB J.,2004,best papers of vldb 2003,johann christoph freytag serge abiteboul michael j carey,1144
53e9bd1db7602d97049a50d0,Foundations of Statistical Natural Language Processing - Book Review.,Gerhard Weikum,SIGMOD Record,2002,foundations of statistical natural language processing book review,gerhard weikum,622
53e9ba85b7602d97046a99f2,"Multiplex, Fusionplex, and Autoplex - Three Generations of Information Integration.","Amihai Motro, Jacob Berlin, Philipp Anokhin",SIGMOD Record,2004,multiplex fusionplex and autoplex three generations of information integration,amihai motro jacob berlin philipp anokhin,23
53e9b700b7602d97042950b9,An Introduction to Remy's Fast Polymorphic Record Projection.,Limsoon Wong,SIGMOD Record,1995,an introduction to remy s fast polymorphic record projection,limsoon wong,149
53e99a0eb7602d970225f6a1,Bluetooth-based sensor networks.,"Philippe Bonnet, Allan Beaufour, Mads Bondo Dydensborg, Martin Leopold",SIGMOD Record,2003,bluetooth based sensor networks,philippe bonnet allan beaufour mads bondo dydensborg martin leopold,641
53e9aadfb7602d97034614ed,The Long-Term Preservation of Authentic Electronic Records.,Luciana Duranti,VLDB,2001,the long term preservation of authentic electronic records,luciana duranti,902
53e9bbeab7602d970484131b,Information Management for Genome Level Bioinformatics.,"Norman W. Paton, Carole A. Goble",VLDB,2001,information management for genome level bioinformatics,norman w paton carole a goble,770
53e9afdbb7602d9703a2ff95,Efficient k-NN search on vertically decomposed data.,"Arjen P. de Vries, Nikos Mamoulis, Niels Nes, Martin L. Kersten",SIGMOD Conference,2002,efficient k nn search on vertically decomposed data,arjen p de vries nikos mamoulis niels nes martin l kersten,1043
53e9a4f3b7602d9702e15d07,Tutorial: LDAP Directory Services - Just Another Database Application?,"Shridhar Shukla, Anand Deshpande",SIGMOD Conference,2000,tutorial ldap directory services just another database application,shridhar shukla anand deshpande,1805
53e9a9f0b7602d9703359b92,Evolution and Change in Data Management - Issues and Directions.,"John F. Roddick, Lina Al-Jadir, Leopoldo E. Bertossi, Marlon Dumas, Florida Estrella, Heidi Gregersen, Kathleen Hornsby, Jens Lufter, Federica Mandreoli, Tomi Männistö, Enric Mayol, Lex Wedemeijer",SIGMOD Record,2000,evolution and change in data management issues and directions,john f roddick lina al jadir leopoldo e bertossi marlon dumas florida estrella heidi gregersen kathleen hornsby jens lufter federica mandreoli tomi m nnist enric mayol lex wedemeijer,40
