idx1,idx2
452,1441
2213,980
1228,127
389,496
29,1092
2582,1348
680,1547
2689,693
1892,120
178,1336
1850,123
1967,708
2217,819
5,1758
867,1265
2406,462
387,813
2632,1182
2223,196
1397,154
1927,90
2683,2059
2256,1847
1870,1259
1546,640
1408,410
2295,1896
1185,2095
2332,502
188,535
926,6
2207,857
400,1882
2149,1037
410,210
459,597
1438,652
2327,935
2055,220
2476,1445
2482,930
2547,1217
2018,1590
2394,1059
340,1160
2184,468
88,572
2779,1822
2770,955
1411,386
110,1246
189,307
2862,665
2722,362
2177,804
1159,1063
1937,1222
2401,1851
1146,548
2002,1593
1899,125
2212,356
23,1279
2354,934
2215,775
2883,645
758,1095
1940,1186
1533,431
998,1090
1538,280
1635,1381
887,175
411,1414
211,1060
2590,1200
2026,835
2893,420
2392,1602
355,1576
2769,771
1707,681
681,699
1394,342
2188,617
2867,151
2555,1313
575,1592
2615,1219
1735,123
2265,1106
2220,1858
2533,2089
1946,1326
54,1489
2255,805
2519,1228
500,505
1348,1245
2850,294
1589,260
2487,1410
1856,1543
2229,2054
1790,1081
1788,1385
2205,892
1082,334
1226,1510
2884,133
2095,616
2616,1779
1919,390
2810,369
644,192
383,1585
104,1941
2781,957
488,1005
2306,1566
2129,1152
2342,213
2531,2071
426,1416
1025,18
1070,434
502,1145
81,1502
1525,1364
1686,1992
1181,773
819,1360
2894,42
490,222
1854,879
2288,353
2012,189
2700,526
1915,377
2428,898
294,1878
1896,377
878,64
1579,148
2104,1430
2685,1183
1798,1094
2166,214
2108,1148
2409,443
543,1009
2276,974
2313,2024
2330,1439
1176,777
2557,1337
1951,1298
382,623
615,861
2785,1093
101,761
2297,228
2176,1106
1376,33
2827,1332
1782,2010
80,1065
207,123
516,1861
663,110
1083,696
1867,778
205,171
633,581
2412,204
2611,1316
14,953
390,1240
1301,1511
800,1525
2277,221
2336,801
2390,808
1164,1519
2224,223
1066,2128
190,629
2294,830
2211,1061
2686,1290
694,283
922,147
2171,817
1212,1269
687,401
1786,1770
1158,1972
2068,1604
1830,500
64,1526
2833,1299
1403,325
2620,1191
2490,852
454,1172
2766,1258
479,1121
2094,2033
1882,393
2152,1156
2100,1905
2566,1331
61,1496
217,23
69,1091
2032,579
370,1433
1022,312
2425,1570
2900,1045
1878,2111
2320,241
2435,982
977,1077
1989,1016
453,1578
530,2027
206,883
938,51
85,1532
1891,319
2567,1356
660,56
1803,569
1838,563
1863,1495
469,1898
2598,1311
1067,662
2775,570
2831,2084
2499,1345
2278,1871
2650,1985
2193,470
1847,2011
578,352
2346,833
1198,1494
1030,45
408,1459
928,936
1783,1487
2624,2066
2024,1024
2421,202
2364,836
1976,2151
1905,406
1910,750
181,382
924,426
2596,1199
49,1367
2302,1102
2338,917
318,895
960,1530
726,316
1086,70
2120,815
100,1961
406,984
2505,2090
2164,484
2191,358
2130,1287
2835,1039
1837,476
2071,828
2245,1883
285,1875
2759,1286
2648,1347
1492,575
2746,2003
1950,2069
2429,1020
360,439
90,2012
2790,1254
1828,1516
437,618
9,558
962,1378
2724,1815
932,1391
1780,963
1800,1938
2703,2119
2240,897
1962,2121
2837,900
2303,441
2115,1144
1543,1921
1717,330
