paperId_acm,title_acm,authors_acm,venue_acm,year_acm
53e99aecb7602d9702373cec,the next database revolution,jim gray,sigmod conference,2004
53e9a018b7602d97028fcb40,the role of cryptography in database security,ueli m maurer,sigmod conference,2004
53e9a146b7602d9702a3924a,tree logical classes for efficient evaluation of xquery,stelios paparizos yuqing wu laks v s lakshmanan h v jagadish,sigmod conference,2004
53e9a32eb7602d9702c39d26,adaptive stream resource management using kalman filters,ankur jain edward y chang yuan fang wang,sigmod conference,2004
53e9a91ab7602d970326be48,holistic udafs at streaming speeds,graham cormode theodore johnson flip korn s muthukrishnan oliver spatscheck divesh srivastava,sigmod conference,2004
53e9b648b7602d97041a4473,online event driven subsequence matching over financial data streams,huanmei wu betty salzberg donghui zhang,sigmod conference,2004
53e9ac95b7602d970366b9bb,using the structure of web sites for automatic segmentation of tables,kristina lerman lise getoor steven minton craig a knoblock,sigmod conference,2004
53e9b03db7602d9703a9bd57,flexpath flexible structure and full text querying for xml,sihem amer yahia laks v s lakshmanan shashank pandit,sigmod conference,2004
53e9b27bb7602d9703d21ece,an interactive clustering based approach to integrating source query interfaces on the deep web,wensheng wu clement t yu anhai doan weiyi meng,sigmod conference,2004
53e99a35b7602d97022963e6,lazy query evaluation for active xml,serge abiteboul omar benjelloun bogdan cautis ioana manolescu tova milo nicoleta preda,sigmod conference,2004
53e998dbb7602d97021143ef,colorful xml one hierarchy isn t enough,h v jagadish laks v s lakshmanan monica scannapieco divesh srivastava nuwee wiwatwattana,sigmod conference,2004
53e9b03db7602d9703a9bd2e,effective use of block level sampling in statistics estimation,surajit chaudhuri gautam das utkarsh srivastava,sigmod conference,2004
53e9b7fcb7602d97043ab826,the priority r tree a practically efficient and worst case optimal r tree,lars arge mark de berg herman j haverkort ke yi,sigmod conference,2004
53e9afbab7602d9703a07647,online maintenance of very large random samples,chris jermaine abhijit pol subramanian arumugam,sigmod conference,2004
53e9af40b7602d970397d55a,integrating vertical and horizontal partitioning into automated physical database design,sanjay agrawal vivek r narasayya beverly yang,sigmod conference,2004
5390972920f70186a0dfaca3,graph indexing a frequent structure based approach,xifeng yan philip s yu jiawei han,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
53e99ebdb7602d9702783702,conditional selectivity for statistics on query expressions,nicolas bruno surajit chaudhuri,sigmod conference,2004
53e9a455b7602d9702d724e6,computing clusters of correlation connected objects,christian b hm karin kailing peer kr ger arthur zimek,sigmod conference,2004
53e9b5f3b7602d9704146102,transaction support for indexed views,goetz graefe michael j zwilling,sigmod conference,2004
53e9b93eb7602d9704527141,fast computation of database operations using graphics processors,naga k govindaraju brandon lloyd wei wang 0010 ming c lin dinesh manocha,sigmod conference,2004
53e99a57b7602d97022be053,approximate xml query answers,neoklis polyzotis minos n garofalakis yannis e ioannidis,sigmod conference,2004
53e9b891b7602d9704464f49,a bi level bernoulli scheme for database sampling,peter j haas christian koenig,sigmod conference,2004
53e9af0cb7602d9703940b40,identifying similarities periodicities and bursts for online search queries,michail vlachos christopher meek zografoula vagena dimitrios gunopulos,sigmod conference,2004
53e99b04b7602d970239433b,rank aware query optimization,ihab f ilyas rahul shah walid g aref jeffrey scott vitter ahmed k elmagarmid,sigmod conference,2004
53e9be2eb7602d9704ae9d64,data stream management for historical xml data,sujoe bose leonidas fegaras,sigmod conference,2004
53e9a675b7602d9702fa8dac,compressing historical information in sensor networks,antonios deligiannakis yannis kotidis nick roussopoulos,sigmod conference,2004
5390972920f70186a0dfacb7,a formal analysis of information disclosure in data exchange,gerome miklau dan suciu,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
53e99c36b7602d97024e419a,imap discovering complex mappings between database schemas,robin dhamankar yoonkyong lee anhai doan alon y halevy pedro domingos,sigmod conference,2004
53e9ac95b7602d970366bbc7,extending query rewriting techniques for fine grained access control,shariq rizvi alberto o mendelzon s sudarshan 0001 prasan roy,sigmod conference,2004
53e99976b7602d97021b87f6,efficient query reformulation in peer data management systems,igor tatarinov alon y halevy,sigmod conference,2004
53e9ab65b7602d9703502570,approximation techniques for spatial data,abhinandan das johannes gehrke mirek riedewald,sigmod conference,2004
53e9b0d8b7602d9703b5234e,indexing spatio temporal trajectories with chebyshev polynomials,yuhan cai raymond t ng,sigmod conference,2004
53e9bcd9b7602d970495d880,toss an extension of tax with ontologies and similarity queries,edward hung yu deng v s subrahmanian,sigmod conference,2004
53e9b4a5b7602d9703fb482d,spatially decaying aggregation over a network model and algorithms,edith cohen haim kaplan,sigmod conference,2004
53e9ae63b7602d970387e5fb,buffering database operations for enhanced instruction cache performance,jingren zhou kenneth a ross,sigmod conference,2004
